ALT(m)	PRESS(mb)	TEMP(C)	RH(%)	SPEED (m/s)	WDIR(deg)
1652	835.38		28.55	14.77	6.20		264.89
1654	835.24		28.51	14.78	6.25		263.05
1655	835.15		28.51	14.76	6.20		261.69
1656	835.05		28.49	14.77	6.20		259.99
1657	834.91		28.47	14.76	6.10		255.09
1658	834.87		28.46	14.76	6.20		251.39
1659	834.76		28.46	14.77	6.10		249.19
1660	834.65		28.42	14.77	5.90		247.89
1661	834.57		28.46	14.75	5.90		247.59
1662	834.47		28.38	14.74	5.80		246.89
1663	834.38		28.42	14.76	5.80		247.39
1664	834.29		28.38	14.73	5.75		247.10
1665	834.16		28.42	14.71	5.90		247.99
1666	834.11		28.34	14.70	6.00		251.19
1667	833.98		28.42	14.71	5.80		249.99
1668	833.89		28.34	14.71	6.00		252.19
1669	833.76		28.38	14.70	6.30		254.69
1670	833.67		28.38	14.70	6.45		259.73
1671	833.62		28.38	14.66	6.50		260.39
1672	833.49		28.38	14.68	6.50		260.59
1673	833.40		28.34	14.68	6.50		261.69
1674	833.31		28.29	14.67	6.60		260.99
1675	833.22		28.34	14.67	6.60		260.19
1677	833.06		28.34	14.66	6.90		261.63
1678	832.98		28.29	14.66	7.20		259.69
1679	832.89		28.29	14.64	7.10		259.29
1680	832.80		28.29	14.62	7.10		259.29
1681	832.67		28.29	14.65	7.20		259.19
1682	832.58		28.23	14.62	7.15		257.24
1683	832.53		28.27	14.61	7.35		255.34
1685	832.26		28.25	14.61	7.25		254.25
1686	832.18		28.21	14.60	7.00		252.89
1687	832.11		28.23	14.59	6.95		251.89
1688	831.99		28.21	14.60	6.90		251.19
1689	831.92		28.21	14.59	6.70		250.15
1690	831.80		28.21	14.60	6.40		249.59
1692	831.65		28.14	14.61	6.40		250.04
1693	831.55		28.12	14.62	6.50		250.39
1694	831.48		28.16	14.66	6.50		249.79
1695	831.35		28.15	14.67	6.80		253.01
1697	831.17		28.10	14.66	7.10		257.59
1698	831.09		28.08	14.67	7.10		257.89
1699	830.98		28.08	14.70	6.70		255.82
1700	830.87		28.08	14.74	6.30		252.99
1702	830.73		28.04	14.75	6.40		253.09
1703	830.62		28.09	14.75	6.73		253.80
1704	830.50		28.04	14.73	7.00		254.79
1705	830.39		28.08	14.75	7.20		253.69
1706	830.28		28.00	14.71	7.10		251.59
1707	830.19		28.08	14.71	7.10		248.94
1708	830.10		28.04	14.69	7.10		245.69
1709	830.00		28.00	14.65	6.97		242.86
1711	829.83		28.04	14.62	7.00		243.19
1712	829.74		28.00	14.62	6.60		243.39
1714	829.61		27.93	14.63	6.45		243.70
1715	829.50		27.96	14.61	6.40		245.19
1716	829.41		27.96	14.59	6.60		246.59
1717	829.28		27.91	14.58	6.80		248.60
1719	829.10		27.91	14.54	6.80		248.24
1721	828.92		27.87	14.54	6.70		249.29
1722	828.82		27.87	14.55	6.75		251.25
1723	828.74		27.83	14.55	6.70		253.39
1725	828.56		27.87	14.57	6.60		254.59
1726	828.47		27.85	14.60	6.60		259.23
1728	828.25		27.87	14.61	6.90		262.39
1729	828.16		27.83	14.59	6.90		268.78
1731	827.95		27.79	14.57	7.10		271.01
1733	827.76		27.74	14.57	7.10		271.49
1735	827.62		27.74	14.58	6.90		272.49
1736	827.53		27.79	14.59	6.85		271.74
1737	827.39		27.79	14.59	7.00		272.09
1738	827.34		27.77	14.59	6.95		274.13
1739	827.25		27.79	14.59	7.00		277.19
1740	827.13		27.73	14.59	7.05		279.80
1741	827.07		27.66	14.58	7.20		282.09
1742	826.98		27.75	14.54	7.40		282.39
1744	826.76		27.68	14.53	7.85		284.29
1745	826.71		27.70	14.51	8.00		284.49
1746	826.53		27.70	14.49	8.00		283.19
1747	826.51		27.62	14.49	7.80		282.59
1748	826.42		27.64	14.48	7.70		280.84
1749	826.30		27.58	14.46	7.70		277.89
1750	826.16		27.62	14.44	7.65		274.83
1753	825.92		27.61	14.45	7.87		273.29
1754	825.80		27.54	14.44	7.90		272.59
1755	825.76		27.58	14.42	7.80		272.39
